Timestamp,Machine_ID,Sensor_Type,Reading_Value,Unit,Threshold_Alert
2026-08-16 10:08:28,Robotic_Arm_A1,Pressure,76.84,PSI,NO
2026-08-16 09:53:28,HVAC_Unit_B,Pressure,21.08,PSI,NO
2026-08-16 09:38:28,Conveyor_Belt_03,Temperature,28.71,Celsius,NO
2026-08-16 09:23:28,Robotic_Arm_A1,Temperature,23.45,Celsius,NO
2026-08-16 09:08:28,Sensor_Node_X,Pressure,23.05,PSI,NO
2026-08-16 08:53:28,CNC_Machine_01,Pressure,84.16,PSI,YES
2026-08-16 08:38:28,HVAC_Unit_B,Pressure,72.77,PSI,NO
2026-08-16 08:23:28,CNC_Machine_01,Vibration,55.56,Hz,NO
2026-08-16 08:08:28,CNC_Machine_01,Temperature,27.34,Celsius,NO
2026-08-16 07:53:28,Robotic_Arm_A1,Pressure,56.87,PSI,NO
2026-08-16 07:38:28,CNC_Machine_01,Temperature,55.51,Celsius,NO
2026-08-16 07:23:28,Sensor_Node_X,Vibration,32.99,Hz,NO
2026-08-16 07:08:28,CNC_Machine_01,Vibration,52.54,Hz,NO
2026-08-16 06:53:28,Robotic_Arm_A1,Pressure,49.89,PSI,NO
2026-08-16 06:38:28,Sensor_Node_X,Vibration,66.19,Hz,NO
2026-08-16 06:23:28,Conveyor_Belt_03,Temperature,67.63,Celsius,NO
2026-08-16 06:08:28,CNC_Machine_01,Pressure,23.4,PSI,NO
2026-08-16 05:53:28,Robotic_Arm_A1,Temperature,48.1,Celsius,NO
2026-08-16 05:38:28,Conveyor_Belt_03,Temperature,66.94,Celsius,NO
2026-08-16 05:23:28,Conveyor_Belt_03,Vibration,57.74,Hz,NO
2026-08-16 05:08:28,HVAC_Unit_B,Vibration,84.24,Hz,YES
2026-08-16 04:53:28,Sensor_Node_X,Vibration,69.4,Hz,NO
2026-08-16 04:38:28,CNC_Machine_01,Vibration,32.22,Hz,NO
2026-08-16 04:23:28,Robotic_Arm_A1,Vibration,25.29,Hz,NO
2026-08-16 04:08:28,HVAC_Unit_B,Pressure,68.18,PSI,NO
2026-08-16 03:53:28,Sensor_Node_X,Temperature,21.99,Celsius,NO
2026-08-16 03:38:28,HVAC_Unit_B,Temperature,63.93,Celsius,NO
2026-08-16 03:23:28,Sensor_Node_X,Temperature,90.52,Celsius,YES
2026-08-16 03:08:28,Sensor_Node_X,Temperature,63.16,Celsius,NO
2026-08-16 02:53:28,CNC_Machine_01,Vibration,49.11,Hz,NO
2026-08-16 02:38:28,Sensor_Node_X,Temperature,68.25,Celsius,NO
2026-08-16 02:23:28,HVAC_Unit_B,Pressure,54.37,PSI,NO
2026-08-16 02:08:28,Sensor_Node_X,Pressure,60.92,PSI,NO
2026-08-16 01:53:28,CNC_Machine_01,Temperature,90.61,Celsius,YES
2026-08-16 01:38:28,CNC_Machine_01,Temperature,48.96,Celsius,NO
2026-08-16 01:23:28,HVAC_Unit_B,Pressure,92.09,PSI,YES
2026-08-16 01:08:28,Conveyor_Belt_03,Pressure,87.9,PSI,YES
2026-08-16 00:53:28,Conveyor_Belt_03,Vibration,34.68,Hz,NO
2026-08-16 00:38:28,Sensor_Node_X,Pressure,25.2,PSI,NO
2026-08-16 00:23:28,Robotic_Arm_A1,Vibration,27.56,Hz,NO
2026-08-16 00:08:28,Sensor_Node_X,Vibration,21.37,Hz,NO
2026-08-15 23:53:28,HVAC_Unit_B,Vibration,27.08,Hz,NO
2026-08-15 23:38:28,HVAC_Unit_B,Vibration,71.23,Hz,NO
2026-08-15 23:23:28,HVAC_Unit_B,Vibration,25.34,Hz,NO
2026-08-15 23:08:28,HVAC_Unit_B,Temperature,43.92,Celsius,NO
2026-08-15 22:53:28,HVAC_Unit_B,Pressure,83.37,PSI,YES
2026-08-15 22:38:28,CNC_Machine_01,Vibration,21.75,Hz,NO
2026-08-15 22:23:28,Conveyor_Belt_03,Pressure,81.09,PSI,YES
2026-08-15 22:08:28,HVAC_Unit_B,Pressure,41.14,PSI,NO
